County	Pct_Voted	MedianAge	MeanSavings	Pct_Poverty	PopulationDensity	Gender
Phelps, MO	40.93	31.9	71355	18.2	53.6	M
Sherman, NE	29.91	38.6	97457	12.7	6.5	M
Washington, NY	33.53	33	65432	11.9	72.3	M
Avoyelles, LA	52.55	32.7	66808	34.1	47.1	F
Elmore, AL	30.52	32.9	55540	15.9	84.3	F
Nolan, TX	41.83	34.4	85460	21.7	17.8	M
San Saba, TX	34.05	39.1	72398	26.2	5	M
Mille Lacs, MN	39.85	34.8	83344	13.5	33.6	F
Cleveland, NC	42.71	34.7	47179	13.3	187.2	M
Allegany, NY	25.9	31.1	57474	18.4	49.7	M
Goliad, TX	37.76	35.9	38685	19.5	7	M
Garrard, KY	36.06	35.8	71234	18	52.8	F
Johnson, IA	55.35	27.3	99040	9.7	159.6	F
Kern, CA	33.75	29.7	44347	21.8	72.2	M
Morrill, NE	22.85	37.4	99292	14.6	3.7	M
Guilford, NC	45.3	33.4	101684	11.9	550.2	M
Johnson, GA	44.7	32.7	61128	24.5	27.3	F
Inyo, CA	31.84	39	73921	12.8	1.8	M
Hardin, KY	36.28	27.8	66199	14.3	134.2	F
Hamilton, KS	28.01	38.1	225930	11.7	2.3	F
McLean, KY	53.84	36	72028	17.8	38.1	F
Washington, OR	40.39	32.7	68643	8.1	468.1	M
Lyon, KS	32.83	29.1	68735	14.2	40.5	F
Durham, NC	57.24	31.7	89268	13.5	648	M
Wayne, NY	30.19	32.9	60870	10	151.1	M
Washington, CO	25.26	37.3	128854	13	1.8	M
Ferry, WA	37.66	32.8	22170	17.4	3	M
Screven, GA	44.43	33	63338	22.3	21.3	F
Sharkey, MS	55.45	26.7	63531	44.3	16.4	M
Washtenaw, MI	53.34	29.2	71649	10.4	405.3	F
Pershing, NV	29.82	31.7	46030	11.5	0.7	M
Malheur, OR	23.81	33.7	69706	21.5	2.7	M
Chicot, AR	68.72	31.9	76209	38.8	24.4	F
Madison, OH	28.41	32.3	47020	10.6	83.6	M
Taylor, KY	39.44	34.5	54050	17.9	80.8	F
Ector, TX	30.85	30.2	58654	21.9	135.2	M
Madison, IL	51.26	33.9	89259	12	348.6	F
Fairfield, SC	60.15	32.4	36553	22.2	32.8	M
Berkeley, WV	35.74	33.3	63091	14.9	195.5	M
Emmet, IA	44.5	36.1	124507	12.4	29.3	F
Maricopa, AZ	32.56	32	90041	16	240.4	F
Red Willow, NE	21.87	35	172497	12.6	15.9	M
Atascosa, TX	38.99	30.4	61267	25.3	25.6	M
Gadsden, FL	58.96	31.8	45618	29.2	81.8	M
Smith, TN	71.85	35.2	131274	15.5	46.1	M
Roosevelt, MT	43.57	29.8	88680	26.9	4.6	M
De Kalb, GA	57.82	31.9	63404	16.3	2094.7	F
San Mateo, CA	53.97	34.8	88188	6.9	1476.7	M
Nowata, OK	42.26	38.4	73286	19.6	17.3	M
Finney, KS	23.89	27.2	90513	13.6	26.3	F
Crawford, WI	45.31	34.9	76954	13.7	28.1	M
Blue Earth, MN	41.41	27.6	103500	13.3	71.8	F
Kimble, TX	28.95	41	92761	17.9	3.3	M
Mercer, NJ	49.14	34.1	142775	9.3	1448.2	M
Wallowa, OR	29.53	37.8	82197	11.9	2.3	M
Gallia, OH	38.94	33.5	94812	21.2	68.9	M
Nassau, NY	46.38	36.6	221488	6	4520.6	M
De Witt, IL	38.78	35.4	83886	9.9	42	F
Stephens, OK	37.34	37	104656	17.8	49.1	M
Shawano, WI	33.77	35.3	77717	10.6	46.6	M
Skagit, WA	39.13	35.6	81397	12.4	49.8	M
Davie, NC	29.67	36.3	54744	8.8	107.1	M
Newton, IN	32.88	33.6	94709	9.8	34.6	F
Franklin, AR	47.76	35.4	84306	15.9	24.9	F
Lake, SD	42.72	33.8	126224	12	19	M
Keokuk, IA	41.76	37.4	140796	12.9	20	F
Sullivan, MO	43.95	42.3	94671	19	9.7	M
Anderson, SC	33.5	34.8	50528	12.9	206.3	M
Barnwell, SC	40.9	31.6	49390	21.9	38.5	M
Sullivan, NY	43.36	34.8	94056	15.9	72.8	M
Pierce, WI	45.3	29.3	92269	8.1	58.1	M
Adair, OK	40.18	31.6	39894	25	33.2	M
Wells, IN	27.26	33.1	91019	7.1	70.5	F
Adams, WA	31.6	30.7	69501	18.2	7.4	F
Sargent, ND	42.64	37.6	124807	8.6	5.1	M
Audrain, MO	44.41	37	134511	14.7	34	M
Schuyler, MO	43.13	39.1	89857	16.8	13.6	M
Trimble, KY	53.71	34.6	113898	17.4	42.3	F
Nuckolls, NE	28.21	40.3	183395	11.7	9.7	M
Mills, IA	29.16	35.1	83245	10.1	30.7	F
Maury, TN	48.86	34	106297	14.1	97.4	M
Caddo, OK	42.31	34.3	89389	26.6	23	M
Le Flore, OK	46.79	34.3	56834	24.7	27.5	M
Hughes, OK	51.31	40.5	88691	26.4	15.9	M
Greene, GA	55.67	32.5	131716	23.8	31.4	F
Thurston, NE	38.33	29.9	72274	23.9	17.8	M
Butler, KY	30.55	34.4	66374	22.5	26.6	F
McLean, ND	34.09	37.3	114932	12.5	4.7	M
Terrebonne, LA	38.44	29.3	76437	22.5	79.2	F
Jones, TX	40.46	36.5	68425	22.7	17	M
Bristol, RI	45.82	35.8	88223	6.7	1987.9	M
Warren, MO	37.11	33.6	46096	11.2	47.9	M
Gunnison, CO	41.48	28.2	75537	12.2	3.3	M
Valley, ID	30.32	37	76249	11.8	1.9	F
Jefferson, IN	41.77	33.7	67505	12.8	83.8	F
Harris, TX	38.2	30.3	91361	19.4	1713.1	M
Fall River, SD	37.72	40.9	85590	16.4	4	M
Potter, SD	27.73	38.9	347371	12	3.6	M
Braxton, WV	58.91	36.4	85264	28.2	25.5	M
Emanuel, GA	45.93	32.3	88914	28.4	30.2	F
Metcalfe, KY	44.66	35.5	62956	25.3	30.9	F
Kidder, ND	27.35	38.6	116675	15.8	2.4	M
Mississippi, AR	62.94	29.4	62732	26.2	61.2	M
Trumbull, OH	50.73	35.6	63740	13.3	372.5	M
Clinton, PA	42.94	34.8	67107	14.7	42	M
Wyandotte, KS	56.27	31.7	102000	20.8	1046.9	F
Forest, PA	41.51	40.7	61821	14.6	11.2	M
Elbert, GA	49.05	34.4	99841	21.4	51.5	F
Leon, FL	49.12	28.8	75763	14.9	303.8	M
Washington, FL	32.32	37.3	24995	21.2	30	M
Darlington, SC	44.88	33	40375	21.8	113.1	M
Fleming, KY	43.95	34.7	101470	24	35.9	F
Whitfield, GA	32.98	32.2	75849	12.9	255.2	F
Colusa, CA	31.91	32.1	107363	17.4	14.7	M
Cambria, PA	51.75	37.4	114647	14.6	235.7	M
Lac qui Parle, MN	47.14	39.4	103893	10.8	11.4	F
Dillon, SC	52.75	30.9	53183	28.4	72.4	M
Whitman, WA	43.69	24.4	94448	14.7	17.8	M
Buena Vista, IA	36.45	33.9	139358	9.7	35	F
Lamar, GA	46.83	33.4	74828	17.8	73.1	F
Latimer, OK	53.35	33.8	57757	24.9	14.5	M
Monroe, MI	42.28	32.2	74858	9.4	246.1	F
Mayes, OK	42.4	35.6	67843	20.2	52.3	M
Marshall, KY	51.58	38.2	105823	13.9	91.8	F
Weakley, TN	47.95	33	101854	15.8	55	M
Hood, TX	30.78	37	90305	11.9	73.5	M
Henry, IN	33.99	36.1	60662	13.1	123.7	F
Clay, KY	27.09	30.3	62429	40.3	47.1	F
Houston, TN	68.18	37.7	53319	18.2	36	M
Robertson, TX	52.23	34.2	91170	25.9	17.9	M
Shelby, KY	42.11	34.9	126628	12.8	67.2	F
Waupaca, WI	28.78	35	111119	8.7	63.4	M
Garfield, WA	35.81	41.1	113961	9.7	3.2	M
Beaver, PA	54.5	37	75921	13.7	432.1	M
Stutsman, ND	33.13	35	107672	12.4	9.8	M
Guthrie, IA	40.97	39.9	130174	11.6	19	F
Van Buren, IA	39.46	37.8	109794	13.8	15.9	F
Allegany, MD	37.59	37.5	66310	16.5	175.6	F
Sheridan, KS	21.21	37.1	275360	11.3	3.3	F
Grant, NM	54.52	33.2	64414	22.6	7.2	M
Faribault, MN	36.51	38.9	133405	12.9	23.3	F
Barton, KS	28.32	34.8	145408	14.1	32.8	F
Georgetown, SC	46.05	32.7	44630	20.9	59.8	M
La Moure, ND	28.85	39.3	108274	11.2	4.6	M
Switzerland, IN	45.31	35.2	63214	15.4	36.2	F
Carroll, KY	56.57	33.8	56781	22.1	73	F
Coke, TX	35.94	44	128435	15.9	3.8	M
Alamance, NC	36.35	35.6	91549	10.3	258.2	M
Fallon, MT	27.74	35.2	140683	10	1.9	M
Hardee, FL	31.37	32.8	96343	27	31.5	M
Rush, IN	27.07	33.6	89738	11	44.8	F
Athens, OH	52.04	25.4	53199	23.4	117.6	M
Missoula, MT	46.98	31.6	59180	16	31.7	M
Columbus, NC	60.63	34.3	104604	23.7	53.6	M
Holt, MO	34.49	38.5	110805	16	12.8	M
Crisp, GA	45.72	32.8	62798	30.4	74.1	F
Yuma, CO	28.17	35.8	133721	12	3.8	M
Cooke, TX	23.73	34.2	91783	16.5	35.5	M
San Benito, CA	42.03	30.3	60184	12.9	27.7	M
Wood, WI	36.25	33.3	85696	9	94.5	M
Benton, IA	42.79	34.7	114227	9.5	31.8	F
Wichita, TX	36.52	31.7	105347	16.9	191.7	F
Dundy, NE	19.49	39	91716	8.9	2.7	M
Jefferson, IL	49.24	34.9	89293	16.2	65	F
Hand, SD	30.83	38.1	202258	12.9	3	M
Tazewell, IL	44.05	34.8	62371	9.6	193.3	F
Hocking, OH	37.21	34.3	57148	15.6	62.9	M
Adair, KY	31.82	34.9	59325	24.2	38.6	F
Codington, SD	33.82	32.9	106061	10.9	33.9	M
Cherry, NE	18.72	36.1	159102	15.4	1.1	M
Klickitat, WA	40.27	34.5	62865	17.8	9.2	M
Johnson, AR	52.14	35.3	80327	18	28.2	M
Okanogan, WA	38.48	35	64604	21	6.5	M
Pacific, WA	49.58	40.3	73478	16.9	20	M
Musselshell, MT	29.08	39.8	106261	18.4	2.2	M
Clay, FL	23.33	32	42602	8.8	189.5	M
Hancock, KY	47.55	32.6	86419	14.6	41.3	F
Fayette, IA	40.62	36.4	128185	13.5	30.1	F
Halifax, NC	55.94	33.6	55884	26.4	77.2	M
Monroe, OH	55.79	36.5	45984	18.3	33.6	M
Navarro, TX	40.8	34.2	113932	21.1	37.2	M
Sioux, IA	15.11	30.9	128974	7.1	39.6	F
Gray, KS	20.39	32.2	130557	8.4	6.2	F
Mendocino, CA	50.21	35.6	79473	16.8	23.3	M
Missaukee, MI	31.25	33.5	53892	17.5	22.6	F
Queen Anne's, MD	32.16	35.5	88683	7.7	94.3	F
Cowley, KS	34.24	34.7	84019	13.9	32.7	F
Candler, GA	43.27	34.6	103484	25.5	32.4	F
Logan, OH	26.02	33.7	62210	12.1	95.5	M
Terry, TX	33.24	31.3	105514	24.1	14.6	M
Cape Girardeau, MO	33.87	32.2	153457	13	109.9	M
Cedar, IA	40	36.1	134924	9.2	30.5	F
Marshall, OK	45.82	41	89917	20.5	30.2	M
Windham, CT	40.38	32.7	84472	9.6	201.2	M
Arlington, VA	57.83	33.8	126558	8.7	6637.1	F
Carson City city, NV	32.1	36.6	91299	9.9	297.6	M
Orleans, NY	29.42	32.5	58902	11.9	111.7	M
Huron, MI	36.21	35.8	105501	16.7	42	F
Androscoggin, ME	40.34	32.8	73303	14.5	221.1	F
Champaign, OH	32	34.3	68483	10.3	85.6	M
New Madrid, MO	58.91	33.2	59288	25.9	30.7	M
El Dorado, CA	32.38	35.3	40039	8.5	80.3	M
Mercer, PA	46.68	36.4	102751	14.8	181.7	M
Copiah, MS	46.53	30.3	56127	31.2	35.9	F
Otsego, MI	33.99	33.7	99537	10.2	37.1	F
Greeley, NE	30.68	36.6	148573	12.6	5.3	M
Grundy, IA	30.78	38.8	162083	7.4	24.1	F
Marshall, MS	63.24	30.1	48434	28.3	44.2	M
Fountain, IN	33.64	35.9	114436	10.8	45.2	F
Green Lake, WI	29.06	36.8	118575	9.5	53.3	M
Newport News, VA	42.14	29.5	49731	16.2	2613.5	F
Person, NC	42.26	34.8	68134	14	78.8	M
Anson, NC	61.71	34.2	67316	20	44.2	M
Sublette, WY	20.83	35.4	83020	7.9	1	M
Randolph, AR	62.1	36.6	60560	21.4	25.9	M
Alfalfa, OK	24.33	40	131568	14.8	7.3	M
Oneida, WI	38.26	38.7	94100	10.3	29.4	M
St. Francis, AR	61.57	31	59719	35.7	44.5	M
Jones, IA	39.42	34.6	134326	11.3	34.4	F
Clearwater, MN	42.23	36.5	74794	21.1	8.2	F
Bond, IL	45.42	35	90772	12	39.7	F
Swain, NC	48.89	35.3	72930	24	21.8	M
Morgan, TN	51.58	33.2	28585	22.9	33.7	M
McKenzie, ND	25.47	33	112893	17.1	2.2	M
Monmouth, NJ	38.24	35	115329	7.5	1201.1	M
Trousdale, TN	69.29	36.3	100467	16.8	52.5	M
Custer, SD	32.05	36.7	36348	12.4	4	M
Clackamas, OR	39.03	35.1	50139	7.7	158.9	M
Kankakee, IL	43	32.9	83669	13.3	146.1	F
Robeson, NC	63.59	30.3	51953	24.5	113.5	M
Sutter, CA	30.48	32.4	60863	15.6	115.1	M
Saginaw, MI	45.22	32.7	59420	19.5	262.5	F
Cotton, OK	42.51	37.1	97776	18.3	10.4	M
Glynn, GA	37.42	34.1	60632	17.2	151	F
Lee, MS	34.27	31.9	87104	15.6	151.9	M
Harnett, NC	40.48	31.3	47971	17.8	118.5	M
Woodford, KY	36.23	33.7	96412	9.7	109.1	F
Henry, IL	45.45	36	110188	10.5	62.3	F
Langlade, WI	36.15	36.6	61811	13	22.8	M
Dade, FL	46.73	34.2	112594	25.4	1031.5	M
Reno, KS	32.62	35	103507	14	49.6	F
Burt, NE	31.29	38.8	130871	13.3	16	M
Dawson, NE	19.8	36.1	135047	11.9	21.4	M
Polk, TN	56.03	36.3	121349	17.9	31.7	M
Osceola, FL	33.16	33.7	56749	14	90.1	M
Mecosta, MI	38.5	25.6	50684	20.6	67.8	F
Allegheny, PA	52.75	36.7	165128	12.8	1826.5	M
Butler, OH	30.27	31.5	54479	9.9	651.2	M
Larimer, CO	38.36	31.1	51416	10.8	76.2	M
Rolette, ND	55.52	26.7	60683	33.8	14.5	M
Iron, MO	54.1	37.1	79855	24.4	19.4	M
Blount, TN	38.92	36.1	71458	13.7	162	M
McDowell, NC	39.93	35.7	51263	11.5	82	M
Archer, TX	32.37	34.7	63119	11.1	8.5	M
Traverse, MN	42.39	41.3	172591	14.3	7.7	F
Chenango, NY	36.8	33.9	76609	14.5	58.5	M
Clark, MO	50.64	35.9	89746	17.3	15	M
Midland, TX	22.15	31	125207	15.5	123.3	M
Mitchell, GA	52.67	30.7	69819	30.7	40	F
Hancock, IN	23.02	34.2	63769	5.7	154.8	F
Fulton, IL	54.94	36.9	95342	14.6	44	F
Burke, NC	41.71	35.1	59602	11.5	152.6	M
Suffolk, MA	60.62	30.8	527082	19.4	10923.1	F
Andrews, TX	25.57	29.4	61258	16.4	9.7	M
Putnam, IN	28.94	32.1	79440	9.3	65.4	F
Hardin, IL	52.47	37.3	73273	19.9	29.2	F
Nevada, CA	34.92	39.3	72156	9.5	87	M
Harper, KS	25.01	39.6	193931	13.7	8.5	F
Sonoma, CA	52.78	34.8	72064	10.4	255.4	M
Lake, TN	62.84	34.1	47512	33.2	44.7	M
Siskiyou, CA	39.91	37.3	83006	16.6	7	M
Chesterfield, VA	27.5	31.9	39632	6.6	532.8	F
Dawson, MT	36.8	35.5	118931	13.4	3.8	M
Wilson, TX	38.56	32	60047	17.1	29.5	F
Grafton, NH	42.24	32.2	139247	10.8	44.3	M
Somerset, MD	40.45	33.8	51439	22.3	71.5	F
Jefferson, WV	44	32.7	89771	13.9	178.4	M
Prince George's, MD	65.67	30.9	54672	8.7	1537.4	F
Washington, NE	25.38	34.8	104278	6	43.5	M
Calhoun, MS	39.25	34.8	93082	22	25.4	F
Washington, NC	55.24	34	47950	21	40.8	M
Lowndes, GA	40.64	28.9	72967	22.4	154.7	F
Warren, TN	58.19	35	103593	18.2	77.4	M
Clark, KY	42.48	34.2	78058	16.9	118.4	F
Van Buren, AR	51.88	43.2	86181	21.6	20	M
Barren, KY	43.84	35.6	93979	18.7	70.3	F
Marion, FL	35.44	40	68657	18.4	131.5	M
Poinsett, AR	62.31	34.6	89898	26.6	32.2	M
Taylor, TX	27.24	30.2	85964	17.6	132	M
Catoosa, GA	32.7	33.9	37852	12.6	273.1	F
Adams, ID	23.59	36.2	48949	12.6	2.6	F
Minidoka, ID	24.47	30.4	50364	15.1	26.6	F
Henry, VA	42.59	35.2	36916	12.6	189.9	F
Dawes, NE	24.26	30.6	130456	18.2	6.4	M
Prentiss, MS	39.7	33.1	86149	18.8	56.6	M
Colquitt, GA	37.86	32.6	78057	25.8	67	F
Irwin, GA	48.44	33.3	72578	25.1	24.1	F
Blount, AL	32.92	34.5	61249	15	62.4	F
Providence, RI	49.46	33.6	196365	15.8	1429.7	M
Orange, FL	34.89	31.5	79270	14.7	785	M
Grant, WV	23.52	35.7	129165	15.6	22.4	M
Windham, VT	53.31	34.5	148681	12.1	52.7	F
Saline, AR	49.38	33.4	35739	9.3	92.6	M
Decatur, GA	43.11	31.7	56397	26.9	43.4	F
Buncombe, NC	43.65	36.8	79830	13.1	275	M
Llano, TX	33.08	55.4	148750	13.3	12.6	M
Pratt, KS	30.63	36.8	185314	10.7	13.1	F
Kandiyohi, MN	40.26	33	115172	14.4	49.7	F
Lee, IL	35.87	34.2	108938	9.1	48	F
Chickasaw, MS	45.95	31.4	78527	20.9	35.9	F
Northampton, VA	45.71	37.5	85037	27.7	62.7	F
Tuscaloosa, AL	40.46	30.6	63784	19.3	115.9	F
New London, CT	42.29	32.5	106965	8.3	372.2	M
Wheeler, TX	33.9	38.6	145021	17.6	6.1	F
Morrow, OH	30.54	33	32480	12.8	70.3	M
Mason, MI	36.91	36.2	77502	15.7	53.5	F
Richland, ND	32.38	32.4	94974	12.1	12.5	M
Grady, OK	34.79	33.4	72085	19.3	38.1	M
Yates, NY	32.12	34.8	65220	15.4	68.6	M
Benton, IN	28.24	34.7	135028	8.8	23.9	F
Washington, KS	24.12	42.1	174715	12.4	7.6	F
Anne Arundel, MD	36.97	32.7	61926	6.8	1057.5	F
Liberty, GA	48.8	24	20855	19	110.6	F
Laurens, GA	43.99	33	100282	21.4	50.5	F
De Soto, LA	51.46	32.4	66499	28.9	28.6	F
Labette, KS	41.23	35	113331	16.7	36.2	F
Richland, SC	50.49	30.4	98686	17.6	388.5	M
Wheatland, MT	33.39	38.5	100283	16	1.6	M
Knott, KY	75.05	30.7	37064	35.5	51.7	F
Franklin, MA	48.14	34.9	102497	11.2	100.8	F
Kent, MI	33.93	30.7	102595	11.6	598.1	F
Palo Alto, IA	44.13	37.5	162070	12.9	18.6	F
Monroe, WV	44.61	37.5	53040	20.1	26.6	M
Boone, AR	42.45	36.5	62629	14.2	49.6	F
Morgan, CO	33.43	33.1	85987	15.5	17.7	M
Kane, IL	34.84	30.9	84074	8.4	640.7	F
Marion, WV	55.74	37.3	88956	20.6	186.3	M
Gilmer, GA	39.25	35.4	95830	17.3	33.5	F
Talbot, MD	33.86	39.6	136163	9.4	116.3	F
Calhoun, GA	64.47	33.5	113227	29.2	17.5	M
Tuscarawas, OH	40.08	35	87815	13.2	150.5	M
Wilcox, GA	50.13	34.7	98480	27.4	18.4	F
Pearl River, MS	31.65	32.5	52821	24	48.9	M
Auglaize, OH	24.43	32.8	91642	7.1	114.4	M
Litchfield, CT	36.14	35.7	140960	5.5	192.1	M
Hillsdale, MI	29.31	32.6	58700	14	74.1	F
Wayne, IA	45.54	42.1	106461	16.7	13.3	F
Powell, MT	33.66	35.9	49629	15.7	2.9	M
Talladega, AL	40.72	33	50652	22.3	101.3	F
Kalamazoo, MI	41.95	31	63722	13.1	401.9	F
Payette, ID	24.55	34.1	62709	17.8	42.9	F
Fond du Lac, WI	30.91	33.4	97864	7.7	126.7	M
Clinton, NY	40.27	29.9	77526	14.3	82.4	M
Cherokee, IA	37.57	37.2	157590	9.5	24.3	F
Lake, OR	26.8	36.3	86832	13.1	0.9	M
Wilcox, AL	64.84	30.4	58132	41.3	15.4	F
Pocahontas, WV	46.05	38.5	90654	20.2	9.6	M
Sunflower, MS	53.77	28.6	56339	45.9	52	M
Rensselaer, NY	39.95	32.8	93024	11.9	239	M
Barbour, WV	49.86	34.9	87997	28.2	46.7	M
Dutchess, NY	36.12	33.4	83492	8	327.6	M
El Paso, TX	50.1	27.9	48635	30.2	619.7	M
Hendricks, IN	21.34	33.3	62744	4.7	194.9	F
Lincoln, NM	29.54	37.1	95544	20.3	2.7	M
Wabaunsee, KS	25.13	36.4	80477	9.8	8	F
Lafayette, WI	39.99	33.6	117193	10.8	25.4	M
Lafayette, AR	57.12	35.1	102237	30	17.9	M
Garland, AR	52.26	40.8	95715	17.9	112.1	F
Uvalde, TX	40.76	29.9	93661	32.7	15.5	M
Shelby, IL	45.65	36.3	92716	9.7	29.5	F
Wharton, TX	36.28	32.6	94299	20.5	36.7	M
Hamilton, NE	21.57	35.2	159736	8.1	16.6	M
Jeff Davis, GA	41.01	31.8	47707	19.6	36.3	F
Trempealeau, WI	47.79	35.7	91482	12.1	34.9	M
White, GA	33.58	36.8	114242	12.5	57.5	F
Roger Mills, OK	35.3	36.1	171100	17	3.5	M
Perry, AR	54.39	36.4	55942	16.7	15.1	M
Thomas, GA	40.52	33.1	79996	23.5	72	F
Beckham, OK	37.69	34.5	109919	22.6	20.6	M
Jackson, LA	44.54	34.5	67926	20.9	27.4	F
Otter Tail, MN	34.41	37.3	87929	13.5	26.1	F
Blanco, TX	28.66	38.8	115982	12.4	9.1	M
Kearney, NE	19.79	35.7	191580	7.8	12.8	M
Lincoln, CO	27.75	36.9	141193	16.2	1.8	M
Clark, IL	41.83	37	119211	11.5	31.9	F
Donley, TX	33.31	42	164161	20.8	3.9	M
Clark, NV	41.15	33.1	68982	12.4	106.4	M
Mecklenburg, VA	38.95	37.4	115773	16.2	47.4	F
Cumberland, NJ	42.64	33.3	57132	15.8	284.3	M
Hancock, IL	41.84	37.3	107816	12.3	27.1	F
Columbia, FL	36.97	33.6	56503	20.4	55.7	M
Limestone, TX	45.16	36.2	72886	22.3	22.9	M
Lawrence, IL	43.67	38	94545	14.7	42.7	F
Salem, NJ	36.02	35.1	73150	11	193	M
Montmorency, MI	39.72	41.6	82348	18.1	17	F
Big Horn, MT	49.02	28	60801	30.2	2.3	M
Sanilac, MI	31.28	34.1	76818	16.1	42.3	F
McHenry, IL	28.07	32.2	78011	3.8	330.6	F
Haakon, SD	15.86	31.9	237619	11.1	1.4	M
