County	Pct_Voted	MedianAge	MeanSavings	Pct_Poverty	PopulationDensity	Gender
Kershaw, SC	38.06	34	44700	13.4	61.7	M
Clearwater, ID	38.4	37.5	74476	12.2	3.5	F
Greenbrier, WV	47.46	37.3	116548	19.9	34.6	M
Florence, SC	39.92	32.2	68641	21.4	148	M
Crawford, IA	39.16	35.4	136430	13	23.4	F
Grant, OK	28.27	39.5	216340	12.8	5.5	M
Berkeley, SC	35.33	28.2	11101	13.2	123.3	M
Stafford, KS	28.15	39	207037	13.4	6.4	F
Elmore, ID	26.97	27.7	29413	11.2	6.7	F
Los Angeles, CA	52.54	30.7	88044	23.8	2233.5	M
Baldwin, GA	49.31	31.9	88596	19.1	156.3	M
Early, GA	47.55	33.4	62383	32	23.7	F
Pepin, WI	46.84	35.1	123070	10.7	30.6	M
Caldwell, TX	45.47	30.7	55149	22.7	49.3	M
Rapides, LA	40.23	31.4	78652	24.1	98.7	F
Humboldt, NV	22.99	30.6	59016	8.9	1.5	M
Greene, TN	37.64	36.4	68828	19.5	91.7	M
Marion, MO	43.76	34.7	84238	16.7	63.7	M
Windsor, VT	47.52	36	112360	11.3	56	F
Pettis, MO	32.26	34.6	125757	15.5	52.1	M
Brown, MN	31.41	34.5	154469	8.8	44.4	F
Flagler, FL	40.92	46.4	104754	10.9	69.3	M
Montgomery, KS	34.27	36.5	110317	17.2	58.9	F
Overton, TN	67.49	36.6	53767	19.8	41.1	M
Randolph, WV	49.86	35.4	105799	24.8	27.2	M
Smyth, VA	38.08	36.5	94859	17.1	72.6	F
Park, WY	24.72	33.9	121587	12.2	3.4	M
Polk, MO	38.22	33.3	104165	19.3	35.5	M
Scott, AR	48.84	36.2	92731	21.1	11.6	M
Coffee, GA	39.27	30.5	95719	23.1	51.2	F
Tioga, NY	33.78	33	55137	10.9	102.6	M
Clark, KS	22.28	41.1	275263	8.4	2.5	F
Bernalillo, NM	45.27	32.2	83936	18	428	M
Humphreys, TN	63.16	36.4	73620	15.4	29.9	M
Union, SD	43.36	35	74900	11.3	22.6	M
Poweshiek, IA	44.83	34.5	115214	9.9	32.3	F
Carroll, NH	33.42	36.9	133194	11.6	38.8	M
Crawford, MI	38.01	34.7	68115	17.6	23.1	F
Sullivan, PA	33.09	38.2	116080	11.4	13.6	M
Macon, IL	49.39	35	91099	13.7	203.1	F
Nicollet, MN	40.26	30.1	74867	8	63.2	F
Sussex, VA	51.56	35.3	120145	20.8	20.8	F
Johnson, KS	30.56	32.8	100864	4.7	784.6	F
